cd_sector,x65,rest,prop_65plussers
11002P589,32,116,21.62162162162162
11002P590,20,102,16.39344262295082
11002P6AK,29,152,16.022099447513813
11002P6BK,167,635,20.82294264339152
11002P6CK,107,687,13.476070528967254
11002P6DK,301,1076,21.85911401597676
11002P6EK,235,1612,12.723335138061723
11002Q001,368,3633,9.197700574856286
11002Q012,673,3104,17.81837437119407
11002Q021,93,809,10.310421286031042
11002Q03-,709,2681,20.914454277286136
11002Q04-,424,2228,15.987933634992457
11002Q052,73,893,7.556935817805383
11002Q072,14,108,11.475409836065573
11002Q091,4,33,10.81081081081081
11002Q10-,482,2722,15.043695380774032
11002Q11-,271,1210,18.298446995273466
11002Q12-,584,3793,13.342472012794152
11002Q13-,623,2415,20.506912442396313
11002Q14-,775,2307,25.146009085009734
11002Q17-,6,98,5.769230769230769
11002Q201,1384,4924,21.940393151553582
11002Q212,716,2116,25.28248587570621
11002Q222,114,395,22.39685658153242
11002Q233,413,1054,28.152692569870485
11002Q241,5,7,41.66666666666667
11002Q242,309,557,35.68129330254042
11002Q2AA,160,1256,11.299435028248588
11002Q2PP,3,6,33.33333333333333
11002Q30-,57,196,22.529644268774703
11002Q49-,0,3,0
11002R00-,128,710,15.274463007159905
11002R01-,513,2345,17.949615115465363
11002R02-,208,1130,15.54559043348281
11002R03-,536,3644,12.822966507177034
11002R04-,252,1502,14.367160775370582
11002R05-,472,2241,17.397714706966457
11002R099,3,22,12
11002R101,472,5503,7.899581589958158
11002R110,1388,3897,26.263008514664143
11002R12-,357,3605,9.010600706713781
11002R13-,590,5766,9.282567652611705
11002R172,7,44,13.725490196078432
11002R180,230,1011,18.5334407735697
11002R19-,205,746,21.55625657202944
11002R20-,932,3369,21.669379214136246
11002R21-,928,2492,27.134502923976605
11002R22-,448,1112,28.717948717948715
11002R23-,709,2626,21.25937031484258
11002R24-,453,2588,14.896415652745807
11002R28-,4,102,3.7735849056603774
11002R30-,187,1285,12.703804347826086
11002R31-,925,3381,21.481653506734787
11002R32-,368,1430,20.467185761957733
11002R33-,465,2508,15.640766902119072
11002R34-,135,1377,8.928571428571429
11002R35-,624,2190,22.174840085287848
11002R39-,1,20,4.761904761904762
11002R401,654,2495,20.76849793585265
11002R41-,560,1895,22.810590631364562
11002R42-,234,1099,17.554388597149288
11002R43-,611,2182,21.876118868600074
11002R44-,694,2072,25.090383224873463
11002R47-,13,86,13.131313131313133
11002S00-,481,3985,10.770264218540081
11002S01-,521,3390,13.321401176169779
11002S02-,452,2997,13.105247897941434
11002S03-,226,2147,9.523809523809524
11002S04-,433,3365,11.400737230121116
11002S05-,275,2159,11.298274445357437
11002S10-,249,1531,13.988764044943819
