cd_sector,tx_sector_descr_nl,ms_avg_tot_net_taxable_inc,ms_median_net_taxable_inc
11002V00-,HOBOKEN - CENTRUM,31628,26343
11002V01-,KLOOSTERSTRAAT,32708,27258
11002V02-,VINKEVELDEN,28462,22694
11002V03-,KAPELSTRAAT,32667,26523
11002V04-,SPORT PARK BELL,34147,29007
11002V05-,LEOPOLDLEI,33593,26429
11002V07-,METALLURGIE - COCKERILL,NA,NA
11002V099,PARK ZORGVLIET,NA,NA
11002V10-,ZWAANTJES,29887,25456
11002V11-,PORTUGESEHOF,29649,25493
11002V12-,WEERSTANDLAAN,26027,23127
11002V13-,HEIDE,28006,23947
11002V14-,LICHTENBERG,29820,24470
11002V19-,BEGRAAFPLAATS,36744,25473
11002V20-,MEERLENHOF,36035,29234
11002V21-,STUIVENBERG,20400,19078
11002V22-,NACHTEGALENHOF-NOORD,35653,30398
11002V23-,NACHTEGALENHOF-ZUID,39701,33108
11002V301,MORETUSBURG,28880,24696
11002V312,VISPUTTEN,40006,32600
11002V322,POLDERSTAD,44800,37964
11002V373,INDUSTRIEPARK,NA,NA
11002V391,POLDERBOS,NA,NA
11004A00-,BOECHOUT-CENTRUM,41462,28852
11004A01-,HOVEREVELD,46335,33190
11004A02-,FRUITHOF,42146,26407
11004A03-,LANGE KROON,40577,30234
11004A081,MUSSENHOEVE,44905,30830
11004A09-,HOF VAN BOECHOUT,40821,33584
11004A10-,'T VOSKE,38876,30002
11004A18-,HELLE,44665,31836
11004A19-,SMIDJE-VERSPREIDE BEWONING,46756,35975
11004A21-,MOLENVELD,39863,28793
11004A220,GILLEGOMBUURT,36839,29421
11004A23-,SCHALIEHOEVEBUURT,51805,35919
11004A242,VOGELWEIDE,49885,41005
11004A29-,BOSHOEK,45048,31228
11004B000,VREMDE-DORP,47258,32090
11004B010,BROECHEMSE STEENWEG,57239,40984
11004B022,NIEUWE WIJK,49548,35423
11004B081,TOEFFELHOEK,55778,38834
11004B090,BLOEMENHOF - VREMDERMOLEN,NA,30720
11004B19-,ACHTERSTE HOEVEN,NA,31819
11005A00-,BOOM-CENTRUM,29796,24082
11005A01-,ADVOKAATSTRAAT,27734,23411
11005A02-,DE HOEK,41931,32342
11005A03-,BOOM STATION-F. DE SCHUTTERL.,30416,25294
11005A04-,NOEVEREN,32859,26963
11005A051,SCHOMME,43125,34118
11005A072,INDUSTRIE,NA,25108
11005A093,HOLLEZIJP,29280,23695
11005A10-,BOSSTRAAT,35653,29968
11005A184,RECREATIE,NA,42709
11005A191,KLEINE STEYLEN,46426,38303
